linux<><>2016/11/14(月) 11:14:22.33 ID:OMr4mKN2<> 話題にぴったりのスレッドがなかったのでたてました。 <br> <br> 今迄ずっとWindowをメインで使ってきましたが、Windows10になって不満を極度に感じるようになりました。 <br> かなりの頻度で再起動をともなう更新が強制され、その間PCの使用ができなくなるわけです。 <br> 大規模なアップデートの際には1時間程度使えないこともありました。 <br> また、再起動に際して待機中プログラムを勝手に終了され、許せない思いです。 <br> <br> 最近、Linuxデスクトップをメインで使うようになりました。 <br> やっと懐かしい感覚を得られるようになりました。自分でPCをコントロールできる感覚です。 <br> ずっとWindowsにその感覚を取り上げられていたわけです。 <br> <br> 今や必要なサービスはブラウザさえあればほとんど受けることができます。 <br> オフィスソフトもLibreOfficeという素晴らしいものがあります。 <br> もう普段のデスクトップ環境としてLinuxデスクトップを選んでも差し支えありません。 <br> <br> こういう気付きをみなさんで共有しましょう！ <>WindowsやめてLinuxデスクトップ！ [無断転載禁止]&#169;2ch.net 
linux<><>2016/11/14(月) 11:18:48.59 ID:OMr4mKN2<> CentOS 7（+ MATE）だけど、Chromeも、LibreOffice 5も導入できて使えた。 <br> Chromiumも導入して、Googleの複数のアカウントをそれぞれで使っている。 <br> <br> とても快適。 <>
linux<><>2016/11/14(月) 11:28:06.30 ID:OMr4mKN2<> 上記の環境で、後気付いた点↓ <br> <br> Wifiも問題なくつかえる。 <br> 日本語入力もok。 <br> スリープも出来る。 <br> メモリの使用量、CPUの使用率も低い。 <br> Gmailの反応がとても速くなった。 <br> システムの起動が早い。 <br> Windowsとのデュアルブートも可能（設定が必要） <>
linux<><>2016/11/14(月) 11:29:13.41 ID:OMr4mKN2<> ドライバ（PPDファイル）さえあればプリンタの導入も問題無。 <>
login:Penguin<>sage<>2016/11/14(月) 14:23:39.85 ID:qi0NkSOt<> Wineがもうちょっと頑張ってくれれば完全移行できるのに… <>
login:Penguin<>sage<>2016/11/14(月) 16:10:01.33 ID:SnRxDvLU<> 移行が用意な英語圏でさえ使われてないんだから <br> 日本語圏で使えるはずないだろ <br> 1万5000円で最高のOSが買えるんだから <>
login:Penguin<>sage<>2016/11/14(月) 16:10:08.20 ID:bKbHPxX/<> 確かにウイネは今ひとつですね、そのため仮想でxp入れました。 <>
login:Penguin<><>2016/11/14(月) 16:45:31.44 ID:7m/S1Ijt<> ここまでスクリーンショット無し <>
login:Penguin<>sage<>2016/11/14(月) 17:29:49.18 ID:bKbHPxX/<> <a href="../test/read.cgi/linux/1479089662/6" rel="noopener noreferrer" target="_blank">&gt;&gt;6</a> <br> 移行しにくいのはubuntuがwindowsと使用感が大きく違うから。 <>
linux<><>2016/11/14(月) 17:55:06.83 ID:OMr4mKN2<> <a href="../test/read.cgi/linux/1479089662/8" rel="noopener noreferrer" target="_blank">&gt;&gt;8</a> <br> http://gazo.shitao.info/r/i/20161114175434_000.png <>
login:Penguin<><>2016/11/14(月) 21:51:13.68 ID:8kbbadDN<> ちゃんとした専ブラが出来たらLinuxに帰ってやってもいいぞ <br> 遠隔書き込み事件から約2年間、Linuxに逃げてた俺 <>
login:Penguin<>sage<>2016/11/14(月) 22:50:38.19 ID:yhELXVH4<> 最高のOSとは？ <>
login:Penguin<>sage<>2016/11/14(月) 23:20:02.99 ID:Ypeqiyzk<> 「オーエス劇場」　大阪市西成区　最寄り駅(動物園前 今池（大阪府） 新今宮駅前） <>
login:Penguin<>sage<>2016/11/15(火) 05:52:09.98 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/5" rel="noopener noreferrer" target="_blank">&gt;&gt;5</a> <br> virtualboxという手もあるよ <br> OSを入れなきゃならないけど <>
login:Penguin<>sage<>2016/11/15(火) 07:11:37.51 ID:3Kgs6N+A<> <a href="../test/read.cgi/linux/1479089662/12" rel="noopener noreferrer" target="_blank">&gt;&gt;12</a> <br> wineとか、そういうツールが補完しようとして目指そうとしている方向に <br> それがぼんやりと見える <>
login:Penguin<>sage<>2016/11/15(火) 07:55:37.10 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/11" rel="noopener noreferrer" target="_blank">&gt;&gt;11</a> <br> JDという専ブラがあるよ <br> linux Mintだけど導入も <>
login:Penguin<>sage<>2016/11/15(火) 08:01:30.77 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/16" rel="noopener noreferrer" target="_blank">&gt;&gt;16</a> <br> 途中ですんません <br> 導入もそんなに難しくないしすごく安定してる <br> linuxネイティブのソフトもWindowsのものにひけをとらないものも多い <br> とくにCDリッピングやID3のタグ附けなどのソフトはWindowsのものより個人的には使いやすいと思ってる <>
login:Penguin<>sage<>2016/11/15(火) 08:05:30.13 ID:xvSM1Y/F<> あとlinuxを立ち上げてまず最初に気づくのがフォントの美しさだね <br> Firefoxとかとても綺麗に見れる <>
login:Penguin<>sage<>2016/11/15(火) 09:00:46.92 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/9" rel="noopener noreferrer" target="_blank">&gt;&gt;9</a> <br> MintはWindowsに操作感が似てるので入りやすいよ <>
login:Penguin<>sage<>2016/11/15(火) 09:16:13.93 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/7" rel="noopener noreferrer" target="_blank">&gt;&gt;7</a> <br> 俺もvirtualboxにXP入れてる <br> この仮想上では実機のWindowsと同じだからwineでは困難なaviutlでのh264出力も普通にこなせるし <br> <br> http://i.imgur.com/WmFzXVf.jpg <>
login:Penguin<>sage<>2016/11/15(火) 11:37:26.01 ID:S2cSIrHM<> 動画編集なんて重い作業は仮想環境でやらずにLinuxでおやりなさい <br> 探せばノンリニア編集ソフトもいろいろ見つかるから <>
login:Penguin<>sage<>2016/11/15(火) 12:09:01.35 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/21" rel="noopener noreferrer" target="_blank">&gt;&gt;21</a> <br> 今それを探してる最中です <br> この仮想XPはそれまでの繋ぎですね <br> aviutlに馴染んでしまってるのでなかなか難しいのもあります <br> しかしlinuxのソフト恐るべし、ですね <br> 実際に使ってみて分かりましたがwindowsのものと比べてまったくひけをとらないソフトばかりでしたから <br> しばらく離れてるうちにここまで進化いたのかと軽いカルチャーショックでした <br> もうaviutlを使う時以外はwindowsを立ち上げることもなくなりました <br> 完全移行まであと一息ですね <>
login:Penguin<>sage<>2016/11/15(火) 17:01:10.53 ID:26kXjqoz<> <a href="../test/read.cgi/linux/1479089662/22" rel="noopener noreferrer" target="_blank">&gt;&gt;22</a> <br> Avidemuxという動画編集アプリあります。aviutlほど細かく編集できないけど <br> 便利で軽量な動画編集アプリです。ただしどうやらlubuntu16.04では対応して <br> おらず15.10でやるしかなく残念です。 <>
